Ac	Activities
Ac_42_55_72	Riding	Ac_42_55
Ac_42_55_74	Running	Ac_42_55
Ac_42_55_76	Skateboarding	Ac_42_55
Ac_42_55_82	Speedway racing	Ac_42_55
Ac_42_55_96	Walking	Ac_42_55
Ac_42_80	Sports ancillary activities	Ac_42
Ac_42_80_15	Corporate and VIP spectating	Ac_42_80
Ac_42_80_50	Manager and coach seating	Ac_42_80
Ac_42_80_65	Press spectating	Ac_42_80
Ac_42_80_72	Reserves seating	Ac_42_80
Ac_42_85	Swimming activities	Ac_42
Ac_42_85_15	Competition swimming	Ac_42_85
Ac_42_85_22	Diving	Ac_42_85
Ac_42_85_71	Recreational swimming	Ac_42_85
Ac_42_85_92	Underwater observation	Ac_42_85
Ac_42_85_94	Water flumes	Ac_42_85
Ac_42_85_95	Water polo	Ac_42_85
Ac_42_85_97	Wave riding	Ac_42_85
Ac_42_85_98	Whirlpool/ spa	Ac_42_85
Ac_42_90	Water activities	Ac_42
Ac_42_90_11	Canoe slalom	Ac_42_90
Ac_42_90_12	Canoe sprint	Ac_42_90
Ac_42_90_50	Motor boating	Ac_42_90
Ac_42_90_73	Rowing	Ac_42_90
Ac_42_90_75	Sailing	Ac_42_90
Ac_42_90_97	Water skiing	Ac_42_90
Ac_42_90_98	White water canoeing	Ac_42_90
Ac_42_95	Winter sports activities	Ac_42
Ac_42_95_02	Alpine skiing	Ac_42_95
Ac_42_95_08	Bobsleighing	Ac_42_95
Ac_42_95_19	Cross-country skiing	Ac_42_95
Ac_42_95_20	Curling	Ac_42_95
Ac_42_95_32	Freestyle skiing	Ac_42_95
Ac_42_95_40	Ice skating	Ac_42_95
Ac_42_95_41	Ice hockey	Ac_42_95
Ac_42_95_49	Luge	Ac_42_95
Ac_42_95_76	Short track speed skating	Ac_42_95
Ac_42_95_77	Skeleton	Ac_42_95
Ac_42_95_78	Skiing	Ac_42_95
Ac_42_95_79	Ski jumping	Ac_42_95
Ac_42_95_80	Snowboarding	Ac_42_95
Ac_42_95_83	Speed skating	Ac_42_95
Ac_45	Residential activities	Ac
Ac_45_10	Residential activities	Ac_45
Ac_45_10_11	Camping	Ac_45_10
Ac_45_10_12	Caravanning	Ac_45_10
Ac_45_10_14	Communal socialising	Ac_45_10
Ac_45_10_16	Concierge services	Ac_45_10
Ac_45_10_22	Dining	Ac_45_10
Ac_45_10_29	Food preparing	Ac_45_10
Ac_45_10_33	Gardening	Ac_45_10
Ac_45_10_79	Sleeping	Ac_45_10
Ac_45_10_81	Socialising	Ac_45_10
Ac_45_10_87	Studying	Ac_45_10
Ac_45_10_93	Utility activities	Ac_45_10
Ac_50	Waste disposal activities	Ac
Ac_50_10	Gas waste collection	Ac_50
Ac_50_20	Non-aqueous liquid waste collection	Ac_50
Ac_50_30	Drainage collection	Ac_50
Ac_50_40	Solid waste collection	Ac_50
Ac_50_50	Gas waste storage	Ac_50
Ac_50_60	Non-aqueous liquid waste storage	Ac_50
Ac_50_70	Drainage storage	Ac_50
Ac_50_75	Wastewater storage	Ac_50
Ac_50_80	Solid waste storage	Ac_50
Ac_55	Piped supply activities	Ac
Ac_55_05	Gas extraction	Ac_55
Ac_55_10	Liquid fuel extraction	Ac_55
Ac_55_15	Water extraction	Ac_55
Ac_55_20	Gas supply	Ac_55
Ac_55_30	Fire extinguishing supply	Ac_55
Ac_55_40	Steam supply	Ac_55
Ac_55_50	Liquid fuel supply	Ac_55
Ac_55_60	Process liquid supply	Ac_55
Ac_55_70	Water supply	Ac_55
Ac_55_90	Piped solids supply	Ac_55
Ac_60	Heating, cooling and refrigeration activities	Ac
Ac_60_30	Rail and paving heating	Ac_60
Ac_60_40	Space heating and cooling	Ac_60
Ac_60_60	Refrigeration	Ac_60
Ac_60_80	Drying	Ac_60
Ac_65	Ventilation and air conditioning activities	Ac
Ac_65_40	Ventilation	Ac_65
Ac_65_80	Air conditioning	Ac_65
Ac_70	Electrical activities	Ac
Ac_70_10	Electrical power generation	Ac_70
Ac_70_20	Kinetic power generation	Ac_70
Ac_70_30	Electricity distribution and transmission	Ac_70
Ac_70_80	Lighting	Ac_70
Ac_75	Communications, security, safety and protection activities	Ac
Ac_75_10	Communication	Ac_75
Ac_75_30	Signalling	Ac_75
Ac_75_40	Security	Ac_75
Ac_75_50	Safety and protection	Ac_75
Ac_75_60	Environmental safety	Ac_75
Ac_75_70	Control and management	Ac_75
Ac_75_80	Protection	Ac_75
Ac_80	Transport activities	Ac
Ac_80_00	Accommodation works	Ac_80
Ac_80_05	Aerospace ground activities	Ac_80
Ac_80_05_02	Aeroplane landing	Ac_80_05
Ac_80_05_03	Aeroplane take-off	Ac_80_05
